CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
41298,HUILA,GARZON,7119,12065,13068
41306,HUILA,GIGANTE,5761,3779,3588
41319,HUILA,GUADALUPE,2225,2711,2604
41530,HUILA,PALESTINA,1003,1558,1492
41797,HUILA,TESALIA,864,1212,1222
25839,CUNDINAMARCA,UBALA,922,209,178
25873,CUNDINAMARCA,VILLAPINZON,733,550,674
52540,NARI„O,POLICARPA,21139,7439,7811
52696,NARI„O,SANTA BARBARA,9300,4232,4227
54206,NORTE DE SANTANDER,CONVENCION,19109,11966,12281
52612,NARI„O,RICAURTE,9570,8033,8495
47541,MAGDALENA,PEDRAZA,3534,949,1849
47675,MAGDALENA,SALAMINA,6858,2904,3103
50573,META,PUERTO LOPEZ,4411,4552,4252
54261,NORTE DE SANTANDER,EL ZULIA,3363,4383,4082
54670,NORTE DE SANTANDER,SAN CALIXTO,12963,7052,7106
50680,META,SAN CARLOS DE GUAROA,1086,831,969
52001,NARI„O,PASTO,12502,72813,73726
5756,ANTIOQUIA,SONSON,23144,13778,13201
5837,ANTIOQUIA,TURBO,129799,109452,84333
8549,ATLANTICO,PIOJO,476,271,312
8675,ATLANTICO,SANTA LUCIA,128,541,394
11001,"BOGOTA, D.C.","BOGOTA, D.C.",11846,545067,596649
5887,ANTIOQUIA,YARUMAL,7535,7633,7587
8078,ATLANTICO,BARANOA,672,2405,1862
8137,ATLANTICO,CAMPO DE LA CRUZ,154,1173,752
52022,NARI„O,ALDANA,80,84,73
5674,ANTIOQUIA,SAN VICENTE,8743,3575,6507
5686,ANTIOQUIA,SANTA ROSA DE OSOS,2198,2086,1400
5697,ANTIOQUIA,EL SANTUARIO,4956,8307,7349
13188,BOLIVAR,CICUCO,878,780,673
13468,BOLIVAR,MOMPOS,3371,1464,870
13473,BOLIVAR,MORALES,14561,6570,6934
13490,BOLIVAR,NOROSI,2705,4395,4750
13620,BOLIVAR,SAN CRISTOBAL,708,968,968
13654,BOLIVAR,SAN JACINTO,35364,20746,17832
13655,BOLIVAR,SAN JACINTO DEL CAUCA,3642,1753,2624
5001,ANTIOQUIA,MEDELLIN,124936,451132,409950
5004,ANTIOQUIA,ABRIAQUI,1816,884,1382
5030,ANTIOQUIA,AMAGA,1896,1433,1188
5031,ANTIOQUIA,AMALFI,8260,4193,4823
13030,BOLIVAR,ALTOS DEL ROSARIO,11470,2931,6839
13042,BOLIVAR,ARENAL,7164,3797,5021
13052,BOLIVAR,ARJONA,2400,6863,6306
13657,BOLIVAR,SAN JUAN NEPOMUCENO,28631,20099,20745
15001,BOYACA,TUNJA,284,3820,4368
15092,BOYACA,BETEITIVA,19,15,23
15109,BOYACA,BUENAVISTA,146,107,105
15131,BOYACA,CALDAS,21,43,38
15135,BOYACA,CAMPOHERMOSO,587,101,82
15183,BOYACA,CHITA,1184,229,228
15187,BOYACA,CHIVATA,7,8,14
15276,BOYACA,FLORESTA,8,26,22
70001,SUCRE,SINCELEJO,13805,148446,150120
70429,SUCRE,MAJAGUAL,6605,2695,2811
70124,SUCRE,CAIMITO,1850,765,695
5209,ANTIOQUIA,CONCORDIA,4212,1806,2081
5212,ANTIOQUIA,COPACABANA,914,4664,3934
5240,ANTIOQUIA,EBEJICO,985,324,170
5306,ANTIOQUIA,GIRALDO,813,427,544
5315,ANTIOQUIA,GUADALUPE,1372,349,321
5361,ANTIOQUIA,ITUANGO,35234,15442,16785
5400,ANTIOQUIA,LA UNION,8070,8561,10675
